id,last_scraped,host_id,latitude,longitude,property_type,accommodates,bedrooms,price
8909380,3/3/17,44800067,34.48543056,-118.1253795,House,2,1,50.00
14078522,3/3/17,84615808,34.51012966,-118.2124069,House,2,1,55.00
13006928,3/2/17,71743973,34.51548578,-118.2307423,Other,6,1,150.00
12190450,3/2/17,65522382,34.03489306,-118.2915378,Apartment,2,1,39.00
9174553,3/3/17,23480749,34.03552482,-118.2977659,House,4,1,59.00
14859779,3/3/17,93062529,34.03535862,-118.2991367,House,2,2,350.00
1557529,3/3/17,2324191,34.03265476,-118.2977112,House,1,1,50.00
11203634,3/3/17,41504364,34.02618058,-118.2928216,Apartment,4,1,89.00
654641,3/3/17,2324191,34.02889917,-118.2999755,House,2,1,56.00
14281484,3/3/17,1619196,34.03040109,-118.3071965,Guesthouse,2,1,120.00
9303822,3/3/17,46817990,34.02820503,-118.2917788,Apartment,1,1,32.00
6153123,3/3/17,2324191,34.03058705,-118.2995484,Other,4,1,79.00
4839375,3/3/17,24905603,34.0270189,-118.3024723,House,2,1,80.00
12570324,3/3/17,42523268,34.03155582,-118.3021604,Loft,2,1,55.00
16068508,3/2/17,89420054,34.03250191,-118.2977478,House,2,1,45.00
14555547,3/2/17,90118152,34.02979779,-118.3086499,House,2,1,55.00
13308717,3/2/17,46668642,34.03131118,-118.3086572,House,2,1,45.00
9048768,3/2/17,13108795,34.03400827,-118.3053389,Apartment,2,0,65.00
8428885,3/2/17,44389104,34.03667996,-118.29442,House,3,2,56.00
3052357,3/2/17,13108795,34.03229386,-118.3041339,Apartment,6,2,115.00
7898757,3/2/17,41646908,34.03141859,-118.2990165,Apartment,1,1,30.00
1471992,3/2/17,2324191,34.03235607,-118.2998489,House,2,1,56.00
2516036,3/2/17,12879495,34.02598566,-118.2997233,Apartment,4,1,115.00
1080947,3/2/17,2324191,34.02864097,-118.3012964,Other,4,1,69.00
9167855,3/2/17,47714615,34.02839683,-118.2961743,Apartment,1,1,70.00
5393269,3/2/17,21526457,34.02642897,-118.3033864,Bed & Breakfast,2,1,50.00
5851860,3/2/17,1545056,34.02820505,-118.3021919,House,2,1,55.00
6504741,3/2/17,2324191,34.02991191,-118.2995604,Apartment,2,1,56.00
12136080,3/2/17,24905603,34.02663216,-118.301125,House,3,1,80.00
9645396,3/2/17,1545056,34.02944308,-118.3021297,House,2,1,50.00
1552495,3/2/17,2324191,34.03145441,-118.2998925,House,1,1,59.00
9839577,3/2/17,16915272,34.02936202,-118.3060785,House,4,1,97.00
14489879,3/2/17,89420054,34.03126226,-118.2996509,House,2,1,45.00
8327493,3/2/17,16723651,34.03057835,-118.2976285,Apartment,2,1,69.00
2560403,3/2/17,13108795,34.03391015,-118.3043998,House,2,0,60.00
1051837,3/2/17,2324191,34.02794391,-118.2981067,House,2,1,56.00
13748272,3/2/17,38791141,34.03197974,-118.3022229,Loft,2,1,100.00
8271459,3/2/17,43614705,34.15658935,-118.7824636,House,4,1,75.00
6144355,3/3/17,31872518,34.16401435,-118.7778557,House,4,2,65.00
639945,3/3/17,3180490,34.13119834,-118.7211732,House,10,4,225.00
5698345,3/3/17,6375700,34.1527603,-118.7730624,Bed & Breakfast,1,1,45.00
1370927,3/3/17,7434012,34.15292168,-118.7892054,House,10,4,150.00
14019384,3/3/17,86748234,34.15113565,-118.7904509,House,7,3,285.00
7789103,3/3/17,40905183,34.15311889,-118.7621196,House,8,4,250.00
14536547,3/3/17,68446088,34.15102564,-118.7912126,House,4,2,319.00
12627455,3/3/17,68561716,34.13925262,-118.7359702,House,5,4,850.00
7842682,3/3/17,41322776,34.15693485,-118.7881225,House,8,3,340.00
13671213,3/2/17,67631110,34.1453084,-118.7720656,House,2,1,40.00
989831,3/2/17,5433968,34.14854854,-118.7709842,Townhouse,1,1,70.00
8295931,3/2/17,43126477,34.14885624,-118.7593387,Apartment,2,1,129.00
15043283,3/2/17,8763207,34.14131437,-118.746308,House,8,4,350.00
3510544,3/2/17,17675084,34.16636398,-118.7487028,House,2,1,85.00
6810048,3/2/17,35649860,34.14317803,-118.7424946,Other,1,1,987.00
5798058,3/2/17,3159697,34.15050862,-118.7874688,House,1,1,75.00
3175657,3/2/17,5433968,34.14939925,-118.7692024,House,2,1,75.00
12610053,3/2/17,68446088,34.15069069,-118.7911953,House,2,1,87.00
683355,3/2/17,3159697,34.14939298,-118.7875574,House,1,1,55.00
10576630,3/2/17,54546599,34.15075683,-118.7870057,House,2,1,55.00
6513704,3/2/17,3159697,34.1510358,-118.7876665,House,1,1,75.00
5059964,3/2/17,26128286,34.15303233,-118.7873219,House,2,1,80.00
9778002,3/2/17,3159697,34.15103443,-118.7874396,House,1,1,49.00
6239043,3/2/17,32380257,34.14530973,-118.742003,Townhouse,2,1,62.00
4589416,3/2/17,18090781,34.13997527,-118.744338,Other,2,1,105.00
15084404,3/2/17,8763207,34.13928845,-118.7466876,House,4,2,150.00
14821131,3/2/17,73192868,34.15372719,-118.7553523,House,2,1,75.00
10562543,3/2/17,32380257,34.14544586,-118.7437857,Condominium,2,2,127.00
6423582,3/2/17,32380257,34.14597928,-118.7430913,Townhouse,1,1,60.00
9111945,3/2/17,47486557,34.14905475,-118.780352,Townhouse,3,1,56.00
6076275,3/2/17,31539640,34.05246279,-118.3169977,Bed & Breakfast,4,1,35.00
6390085,3/2/17,31539640,34.05235201,-118.3166458,Bed & Breakfast,5,1,35.00
13605429,3/2/17,53789243,34.05138859,-118.3212147,Apartment,6,1,232.00
16696933,3/3/17,109398642,34.05270368,-118.3187486,Dorm,1,1,22.00
16696832,3/3/17,109398642,34.05259104,-118.3186928,Dorm,1,1,24.00
16696693,3/3/17,109398642,34.05268955,-118.3171043,Dorm,1,1,23.00
288038,3/3/17,1497543,34.04640699,-118.3139388,Dorm,4,1,33.00
4242907,3/3/17,3541461,34.04599349,-118.3189441,Loft,1,1,45.00
1403949,3/3/17,7577256,34.05016916,-118.3188691,Apartment,4,1,99.00
308582,3/3/17,1497543,34.04610511,-118.3131903,House,4,1,33.00
16759239,3/3/17,109398642,34.05213815,-118.3180648,Dorm,1,1,24.00
16759072,3/3/17,109398642,34.05267476,-118.3175181,Dorm,1,1,24.00
2203321,3/3/17,6245770,34.03990931,-118.3239512,Apartment,4,1,83.00
16758832,3/3/17,109398642,34.05255163,-118.3180788,Dorm,1,1,23.00
11859089,3/3/17,63208372,34.04686527,-118.3204189,Apartment,1,1,56.00
4510204,3/3/17,16660123,34.03993737,-118.3162997,Apartment,4,1,65.00
14085238,3/3/17,84693372,34.05067181,-118.3185789,Apartment,2,1,55.00
14284554,3/3/17,82410198,34.05402868,-118.3210839,Apartment,2,1,60.00
3209078,3/3/17,4365606,34.03786725,-118.3282551,House,3,1,118.00
16703741,3/3/17,109398642,34.05294,-118.3181168,Dorm,1,1,25.00
5175424,3/3/17,1763193,34.04984075,-118.3248396,Apartment,2,1,99.00
13628151,3/3/17,78993536,34.05232824,-118.3221859,Apartment,2,1,75.00
13301943,3/3/17,9111869,34.03775062,-118.3209606,Apartment,4,0,95.00
8115918,3/3/17,20283575,34.0436211,-118.3233114,House,2,1,90.00
5884952,3/3/17,1763193,34.0497582,-118.3225277,Apartment,2,1,89.00
13224934,3/3/17,74218490,34.03946175,-118.3166172,Apartment,2,1,100.00
15412855,3/3/17,98722467,34.04512469,-118.3269176,Apartment,1,1,90.00
2509881,3/2/17,9584153,34.0412395,-118.330181,Apartment,3,1,111.00
10235519,3/2/17,41394522,34.03660085,-118.3232937,Apartment,3,1,65.00
1641253,3/2/17,6245770,34.04048555,-118.3210241,House,4,1,64.00
12036625,3/3/17,55135190,34.03913311,-118.3233404,Apartment,1,0,45.00
3123678,3/3/17,871934,34.05198439,-118.3205583,Apartment,3,1,67.00
