id,last_scraped,host_id,latitude,longitude,property_type,accommodates,bedrooms,price
6504741,5/2/16,2324191,34.02991191,-118.2995604,Apartment,2,1,69.00
7973248,5/2/16,42074164,34.03081113,-118.2976235,Apartment,1,1,52.00
9063047,5/2/16,42074164,34.02944999,-118.2992237,Apartment,2,1,62.00
9174553,5/2/16,23480749,34.03552482,-118.2977659,House,4,1,53.00
12136080,5/2/16,24905603,34.02663216,-118.301125,House,3,1,80.00
9303822,5/2/16,46817990,34.02820503,-118.2917788,Apartment,1,1,32.00
11203634,5/2/16,41504364,34.02618058,-118.2928216,Apartment,4,1,79.00
9167855,5/2/16,47714615,34.02839683,-118.2961743,Apartment,1,1,70.00
4839375,5/2/16,24905603,34.0270189,-118.3024723,House,2,1,80.00
1557529,5/2/16,2324191,34.03265476,-118.2977112,House,1,1,50.00
6153123,5/2/16,2324191,34.03058705,-118.2995484,Apartment,4,1,81.00
7185048,5/2/16,23757383,34.0324879,-118.3021909,Apartment,1,1,29.00
3052357,5/2/16,13108795,34.03229386,-118.3041339,Apartment,6,2,115.00
8974737,5/2/16,4072379,34.03346959,-118.301166,Loft,1,1,85.00
11622888,5/2/16,12217297,34.02626742,-118.2947301,Apartment,2,1,57.00
6046004,5/2/16,19200935,34.02930169,-118.2991113,House,4,1,72.00
7898757,5/2/16,41646908,34.03141859,-118.2990165,Apartment,1,1,30.00
8617690,5/2/16,16467143,34.02673558,-118.2962283,Apartment,4,1,69.00
1471992,5/2/16,2324191,34.03235607,-118.2998489,House,2,1,64.00
8924216,5/2/16,46666154,34.03017976,-118.298328,Apartment,1,1,54.00
7770889,5/2/16,13197064,34.03347687,-118.3011504,Apartment,2,1,275.00
8152058,5/2/16,16467143,34.02723983,-118.2972227,Apartment,6,3,220.00
5393269,5/2/16,21526457,34.02642897,-118.3033864,Bed & Breakfast,2,1,50.00
5851860,5/2/16,1545056,34.02845005,-118.2991249,House,2,1,55.00
11553261,5/2/16,60290164,34.02574793,-118.2930436,Apartment,4,1,74.00
8009373,5/2/16,42071125,34.03314407,-118.3013082,Loft,2,1,280.00
5319351,5/2/16,12217297,34.02615307,-118.2942017,Apartment,4,1,105.00
9645396,5/2/16,1545056,34.02959908,-118.3017937,House,2,1,55.00
8989426,5/2/16,4072379,34.0330167,-118.3028584,Loft,1,1,68.00
12190450,5/2/16,65522382,34.03489306,-118.2915378,Apartment,2,1,39.00
9048768,5/2/16,13108795,34.03400827,-118.3053389,Apartment,2,0,65.00
2560403,5/2/16,13108795,34.03391015,-118.3043998,House,2,0,60.00
8327493,5/2/16,16723651,34.03057835,-118.2976285,Apartment,2,1,69.00
1051837,5/2/16,2324191,34.02794391,-118.2981067,House,2,1,68.00
6810048,5/2/16,35649860,34.14317803,-118.7424946,Other,1,1,987.00
8271459,5/2/16,43614705,34.15658935,-118.7824636,House,2,1,65.00
5698345,5/2/16,6375700,34.1527603,-118.7730624,Bed & Breakfast,1,1,55.00
639945,5/2/16,3180490,34.13119834,-118.7211732,House,12,4,500.00
7842682,5/2/16,41322776,34.15693485,-118.7881225,House,8,3,280.00
3510544,5/2/16,17675084,34.16636398,-118.7487028,House,2,1,80.00
7586620,5/2/16,39431398,34.14407308,-118.7424193,Townhouse,1,1,55.00
683355,5/2/16,3159697,34.14939298,-118.7875574,House,2,1,55.00
8295931,5/2/16,43126477,34.14885624,-118.7593387,Apartment,2,1,129.00
4093938,5/2/16,20984194,34.15445496,-118.7392698,House,7,3,350.00
3175657,5/2/16,5433968,34.14939925,-118.7692024,House,2,1,75.00
5798058,5/2/16,3159697,34.15050862,-118.7874688,House,1,1,62.00
10973343,5/2/16,56933714,34.15027377,-118.7680826,House,3,1,75.00
12627455,5/2/16,68561716,34.13925262,-118.7359702,House,5,4,600.00
6513704,5/2/16,3159697,34.1510358,-118.7876665,House,1,1,55.00
10576630,5/2/16,54546599,34.15075683,-118.7870057,House,2,1,55.00
5059964,5/2/16,26128286,34.15303233,-118.7873219,House,2,1,80.00
9778002,5/2/16,3159697,34.15103443,-118.7874396,House,1,1,55.00
6239043,5/2/16,32380257,34.14530973,-118.742003,Townhouse,2,1,85.00
10562543,5/2/16,32380257,34.14544586,-118.7437857,Condominium,2,2,300.00
989831,5/2/16,5433968,34.14854854,-118.7709842,Townhouse,1,1,70.00
9111945,5/2/16,47486557,34.14905475,-118.780352,Townhouse,3,1,45.00
4589416,5/2/16,18090781,34.13997527,-118.744338,House,2,1,99.00
1312248,5/2/16,7130587,34.1496296,-118.7768629,House,2,1,60.00
6423582,5/2/16,32380257,34.14597928,-118.7430913,Townhouse,1,1,60.00
6076275,5/2/16,31539640,34.05246279,-118.3169977,Bed & Breakfast,4,1,25.00
6109899,5/2/16,31539640,34.05270291,-118.3170092,Bed & Breakfast,2,1,70.00
776201,5/2/16,1497543,34.04566841,-118.3136767,Dorm,16,1,38.00
308584,5/2/16,1497543,34.04760899,-118.3134674,House,2,1,65.00
288038,5/2/16,1497543,34.04640699,-118.3139388,Dorm,16,1,33.00
5175424,5/2/16,1763193,34.04984075,-118.3248396,Apartment,2,1,99.00
3209078,5/2/16,4365606,34.03786725,-118.3282551,House,3,1,120.00
7874648,5/2/16,28422470,34.05144806,-118.3237672,House,2,1,59.00
4777256,5/2/16,21812739,34.03663214,-118.3218587,Apartment,5,2,115.00
9392107,5/2/16,46188385,34.04245901,-118.3148797,House,2,1,59.00
4510204,5/2/16,16660123,34.03993737,-118.3162997,Apartment,4,1,65.00
8115918,5/2/16,20283575,34.0436211,-118.3233114,House,2,1,90.00
5884952,5/2/16,1763193,34.0497582,-118.3225277,Apartment,2,1,89.00
6390085,5/2/16,31539640,34.05235201,-118.3166458,Bed & Breakfast,5,1,25.00
8012663,5/2/16,42306649,34.04867327,-118.3198595,House,2,1,64.00
4242907,5/2/16,3541461,34.04599349,-118.3189441,Loft,1,1,45.00
308582,5/2/16,1497543,34.04761885,-118.3134035,House,2,1,65.00
3123678,5/2/16,871934,34.05198439,-118.3205583,Apartment,3,1,67.00
4235022,5/2/16,3541461,34.04584859,-118.3177961,Loft,3,1,48.00
2203321,5/2/16,6245770,34.03990931,-118.3239512,Apartment,4,1,72.00
892469,5/2/16,4743375,34.03942717,-118.327487,House,2,1,72.00
6201593,5/2/16,32159384,34.04433968,-118.3200812,House,4,0,115.00
6201491,5/2/16,32159384,34.04585249,-118.3211764,House,2,1,70.00
6201466,5/2/16,32159384,34.04471425,-118.3199801,House,2,1,75.00
6201435,5/2/16,32159384,34.04461496,-118.321989,House,2,1,55.00
6201377,5/2/16,32159384,34.04434853,-118.3217316,House,2,1,55.00
9127517,5/2/16,1497543,34.04706615,-118.3139011,Dorm,16,1,33.00
5805878,5/2/16,29764429,34.04305173,-118.3169841,House,2,1,130.00
300407,5/2/16,1497543,34.04572301,-118.3139734,House,16,1,33.00
300343,5/2/16,1497543,34.046159,-118.3133663,House,2,1,65.00
822309,5/2/16,4318382,34.03757392,-118.3140103,House,2,1,98.00
12814880,5/2/16,68306402,34.04959858,-118.3192854,House,1,1,60.00
12291245,5/2/16,47805912,34.05374466,-118.321016,Apartment,2,0,59.00
12814568,5/2/16,68306402,34.0485721,-118.319104,House,4,1,80.00
