id,last_scraped,host_id,latitude,longitude,property_type,accommodates,bedrooms,price
109,3/8/18,521,33.98209481,-118.3849352,Condominium,6,2,$122.00 
344,3/8/18,767,34.1656163,-118.3345823,House,6,3,$168.00 
2404,3/7/18,2633,33.98463955,-118.4400636,Apartment,1,1,$85.00 
2732,3/7/18,3041,34.00474968,-118.4812659,Apartment,1,1,$155.00 
2864,3/7/18,3207,33.87618879,-118.1139679,Apartment,2,1,$80.00 
3021,3/7/18,3415,34.11131723,-118.3822706,House,3,1,$76.00 
3152,3/8/18,3685,34.13219391,-118.3802788,House,5,2,$270.00 
5728,3/7/18,9171,33.98832991,-118.4322441,Tiny house,2,1,$75.00 
5729,3/8/18,9171,33.98685032,-118.432661,Guesthouse,3,1,$105.00 
5843,3/7/18,9171,33.98782347,-118.4317043,House,5,2,$303.00 
6033,3/7/18,11619,34.16824597,-118.6443764,Villa,2,1,$85.00 
6931,3/7/18,3008,34.09521265,-118.3480114,Apartment,1,1,$99.00 
7143,3/8/18,18122,34.03475197,-118.3775137,Apartment,2,1,$70.00 
7992,3/8/18,22363,34.11542588,-118.2609017,Guesthouse,4,1,$79.00 
8021,3/7/18,22460,34.06409577,-118.3803018,Apartment,2,1,$129.00 
8235,3/7/18,23567,34.03047226,-118.2364865,Loft,3,1,$108.00 
8770,3/7/18,26996,33.99398606,-118.456367,Guesthouse,2,0,$121.00 
9140,3/7/18,28350,33.77206463,-118.1889297,Loft,2,1,$90.00 
9376,3/8/18,30319,33.99637914,-118.4773366,Apartment,2,1,$95.00 
11374,3/7/18,42220,33.90347989,-118.2926862,Other,2,1,$80.00 
11511,3/7/18,40884,34.11479084,-118.322886,Apartment,2,1,$195.00 
11877,3/7/18,30484,33.99752806,-118.4722589,Bungalow,3,0,$95.00 
12320,3/7/18,47757,34.05863892,-118.3435171,Apartment,5,2,$189.00 
13776,3/7/18,31306,33.83846841,-118.3852155,House,4,1,$150.00 
14098,3/7/18,55411,34.11959411,-118.3205554,Apartment,2,1,$275.00 
14107,3/7/18,55422,33.99025164,-118.4537437,House,12,3,$425.00 
14124,3/7/18,31306,33.83983868,-118.3871012,House,4,1,$150.00 
14216,3/7/18,55808,34.0219518,-118.5019956,Apartment,3,1,$96.00 
14273,3/7/18,56047,34.10249137,-118.2482355,Guest suite,2,1,$95.00 
14945,3/8/18,58823,34.08854309,-118.3762238,Apartment,2,1,$180.00 
15333,3/7/18,60057,34.16700821,-118.4111799,Villa,6,2,$395.00 
15440,3/7/18,60473,33.99359486,-118.460491,Guesthouse,2,0,$140.00 
16690,3/7/18,64837,34.13415111,-118.4131825,House,1,1,$110.00 
17860,3/8/18,55422,33.9881614,-118.4537749,House,4,,$175.00 
19887,3/8/18,75052,34.08520558,-118.2833838,House,1,1,$75.00 
20109,3/7/18,76111,34.0543306,-118.3938893,Apartment,4,2,$140.00 
20585,3/7/18,77857,33.98065398,-118.4651872,Guesthouse,2,1,$124.00 
20786,3/7/18,55411,34.11939297,-118.3204407,Apartment,2,1,$165.00 
20965,3/8/18,79697,34.09845333,-118.3215066,House,2,1,$74.00 
22214,3/7/18,85215,34.19794341,-118.2247895,House,2,1,$65.00 
23363,3/7/18,91335,34.10312115,-118.2577803,Apartment,2,0,$105.00 
23710,3/7/18,94038,34.12002728,-118.1903753,Guest suite,2,0,$80.00 
23925,3/7/18,95543,34.00416371,-118.4660228,House,2,1,$249.00 
23979,3/7/18,55411,34.11860561,-118.3201862,Guest suite,2,1,$175.00 
24028,3/7/18,95543,34.0024629,-118.465154,House,2,1,$249.00 
24030,3/7/18,96147,33.98798336,-118.4730126,House,2,1,$130.00 
24041,3/7/18,39253,33.83178775,-118.383277,House,2,1,$125.00 
24349,3/7/18,98565,34.10780401,-118.2186408,House,4,2,$215.00 
24769,3/7/18,100496,34.10777285,-118.2346588,House,5,2,$109.00 
25445,3/8/18,105868,34.02360609,-118.3870965,Bed and breakfast,3,1,$90.00 
25670,3/8/18,107370,34.04726632,-118.4405812,Apartment,1,1,$90.00 
25672,3/7/18,107473,34.08043595,-118.2980497,Apartment,2,1,$130.00 
26157,3/7/18,107370,34.04635693,-118.4404302,Apartment,1,1,$99.00 
26199,3/8/18,70344,34.0961218,-118.3670244,Apartment,2,1,$79.00 
27558,3/7/18,119098,33.98958248,-118.4681197,House,6,3,$450.00 
28529,3/7/18,55411,34.12020658,-118.3222853,Apartment,2,2,$245.00 
28547,3/7/18,122986,34.03921696,-118.539838,House,5,2,$150.00 
29645,3/7/18,127815,34.04191016,-118.3651044,House,2,1,$132.00 
30474,3/8/18,105868,34.02354955,-118.3868768,Bed and breakfast,2,1,$90.00 
