id,last_scraped,host_id,latitude,longitude,accommodates,bedrooms,price
47794,3/6/19,217470,33.99355,-118.44284,2,1,100.00
49573,3/7/19,222063,34.2774,-118.47958,2,1,53.00
49731,3/7/19,227075,34.15563,-118.23521,1,1,57.00
50005,3/7/19,49391,34.09596,-118.34985,2,1,130.00
50358,3/7/19,230943,34.04095,-118.30651,2,2,50.00
51307,3/7/19,235568,34.12026,-118.26773,2,1,72.00
51498,3/7/19,236758,34.00581,-118.44356,2,0,109.00
51546,3/7/19,237114,34.11893,-118.32189,6,1,130.00
51922,3/7/19,239712,34.01355,-118.49685,2,0,185.00
52740,3/7/19,140939,34.00018,-118.43358,3,1,59.00
52871,3/7/19,245280,34.06197,-118.39887,4,1,160.00
53125,3/7/19,239712,34.01155,-118.49564,2,0,130.00
53579,3/7/19,239712,34.01357,-118.49539,4,1,195.00
53945,3/7/19,239905,34.06132,-118.3703,2,1,135.00
54829,3/7/19,257925,34.00061,-118.46353,3,1,125.00
55427,3/7/19,261676,33.98934,-118.47375,4,1,125.00
55590,3/7/19,262696,34.07517,-118.26623,2,1,90.00
60622,3/7/19,292257,33.85927,-118.40042,2,1,135.00
60935,3/7/19,294390,34.04762,-118.30594,2,1,80.00
60940,3/7/19,294390,34.05076,-118.30677,3,2,100.00
61153,3/7/19,3415,34.11046,-118.38127,2,1,64.00
61578,3/7/19,298123,33.99201,-118.4699,6,2,600.00
61582,3/7/19,298216,34.11235,-118.23207,2,0,78.00
63416,3/7/19,309512,34.11547,-118.32416,2,1,125.00
64574,3/7/19,285079,34.1273,-118.32003,4,2,250.00
66456,3/7/19,325435,34.08721,-118.30553,2,1,175.00
66796,3/7/19,162151,34.11661,-118.28776,2,1,395.00
67089,3/7/19,210344,34.00959,-118.40954,3,1,135.00
67291,3/7/19,9073668,34.05864,-118.36465,2,1,125.00
67672,3/7/19,334198,34.04055,-118.4748,2,1,95.00
67792,3/7/19,334952,34.08177,-118.38747,6,3,350.00
67837,3/7/19,9073668,34.05966,-118.36397,3,1,125.00
67842,3/7/19,9073668,34.05846,-118.36321,3,1,125.00
67843,3/7/19,9073668,34.06031,-118.3638,2,1,100.00
69838,3/7/19,351521,34.03853,-118.33628,4,1,97.00
70639,3/7/19,358936,34.07882,-118.23393,2,1,64.00
71504,3/7/19,366343,34.04981,-118.39745,2,1,70.00
71514,3/7/19,366343,34.04978,-118.39745,2,1,70.00
71972,3/7/19,159716,34.03045,-118.40618,2,1,50.00
72160,3/7/19,372607,34.10586,-118.29797,1,1,65.00
72186,3/7/19,230943,34.04079,-118.30837,2,1,50.00
72702,3/6/19,241701,33.98371,-118.46995,2,0,95.00
73812,3/7/19,91136,34.09031,-118.36271,2,1,115.00
74770,3/7/19,394279,34.18277,-118.52721,3,0,109.00
74949,3/7/19,395766,34.08516,-118.2876,4,1,115.00
75512,3/7/19,161668,34.05832,-118.34105,2,1,75.00
76561,3/7/19,403838,33.98601,-118.35798,4,0,102.00
77025,3/7/19,411877,33.99746,-118.47153,3,0,135.00
79502,3/7/19,428171,34.08333,-118.27951,3,1,125.00
79832,3/7/19,28569,34.12859,-118.3202,2,1,110.00
80714,3/7/19,436647,34.05966,-118.35402,4,1,119.00
80734,3/7/19,436865,34.10805,-118.34111,4,1,137.00
81480,3/7/19,334198,34.04043,-118.47367,1,1,80.00
83929,3/7/19,458192,34.12902,-118.36334,6,2,349.00
84636,3/7/19,195697,33.91832,-118.2089,2,1,58.00
84788,3/7/19,463812,34.24163,-118.46236,1,1,39.00
84789,3/7/19,11619,34.16745,-118.64428,10,4,299.00
85246,3/7/19,466662,34.05456,-118.36349,2,1,110.00
85973,3/7/19,466847,34.25518,-118.28128,4,2,78.00
86674,3/7/19,428171,34.08365,-118.27848,2,1,125.00
86945,3/7/19,476742,34.08634,-118.36478,1,1,89.00
87284,3/7/19,465624,34.08156,-118.34884,6,2,220.00
87595,3/7/19,479630,33.96568,-118.41772,2,1,89.00
90986,3/7/19,491953,34.03954,-118.34113,2,1,105.00
92481,3/7/19,479630,33.96781,-118.41985,6,3,315.00
93359,3/7/19,239712,34.0136,-118.49553,3,1,175.00
94178,3/7/19,503691,34.0695,-118.25361,2,1,70.00
95242,3/7/19,465624,34.07796,-118.35706,4,1,100.00
96334,3/7/19,511559,34.15668,-118.60319,1,1,55.00
97000,3/7/19,195697,33.92044,-118.20821,4,1,75.00
97354,3/6/19,486261,34.03908,-118.49247,6,3,550.00
98284,3/7/19,518902,34.13361,-118.41311,10,6,1395.00
99962,3/7/19,508888,34.10816,-118.33433,2,1,88.00
100074,3/7/19,239712,34.01261,-118.49584,4,1,130.00
101426,3/7/19,531468,34.06219,-118.28691,3,1,170.00
101588,3/6/19,532071,33.98652,-118.46634,4,2,400.00
101702,3/7/19,532541,34.07237,-118.26332,2,,100.00
104010,3/7/19,531528,34.09192,-118.21793,4,2,199.00
104444,3/7/19,465624,34.08234,-118.34703,6,2,155.00
106052,3/7/19,550047,33.82738,-118.27964,2,,65.00
106061,3/7/19,550078,34.08767,-118.26424,4,1,78.00
107970,3/7/19,552845,33.77391,-118.12369,7,2,90.00
111024,3/7/19,569476,34.07868,-118.36106,2,1,150.00
111646,3/7/19,102117,34.17363,-118.38671,2,1,49.00
114203,3/7/19,579779,34.09659,-118.36843,2,1,125.00
115205,3/6/19,583438,34.12424,-118.46571,2,1,89.00
115343,3/7/19,572275,33.98658,-118.38168,2,1,90.00
117715,3/7/19,594520,34.1024,-118.33391,4,1,120.00
120005,3/7/19,195697,33.92002,-118.20804,2,1,58.00
121717,3/7/19,219283,34.21007,-118.16425,5,2,208.00
124057,3/7/19,17569,33.9954,-118.45834,2,1,115.00
124199,3/7/19,619518,34.06572,-118.40303,2,2,139.00
125273,3/6/19,30484,33.99819,-118.47363,2,0,85.00
127766,3/7/19,523903,34.09028,-118.24981,2,0,145.00
129975,3/7/19,640499,34.08333,-118.26302,4,1,189.00
130915,3/7/19,644202,34.13097,-118.70429,4,1,90.00
131174,3/7/19,648867,34.02665,-118.51691,3,1,120.00
131635,3/7/19,647546,34.18325,-118.40073,2,1,48.00
132908,3/7/19,633484,34.10456,-118.37002,10,5,1050.00
133321,3/7/19,465624,34.07943,-118.35468,6,2,165.00
134553,3/7/19,592405,34.09693,-118.61836,2,1,82.00
135608,3/7/19,57161,34.04895,-118.2357,1,0,48.00
137215,3/7/19,523903,34.08958,-118.24969,7,2,265.00
138211,3/7/19,674917,34.03573,-118.46184,4,1,140.00
138244,3/7/19,675083,34.12049,-118.26441,3,1,89.00
142103,3/6/19,689294,34.05083,-118.37603,2,1,165.00
143210,3/7/19,694988,34.09942,-118.2764,2,1,120.00
144793,3/7/19,239712,34.01266,-118.49545,4,0,150.00
146845,3/7/19,709835,34.21754,-118.3472,2,1,95.00
147088,3/7/19,674917,34.03591,-118.46226,5,2,200.00
147876,3/7/19,714496,34.113,-118.23398,2,1,85.00
150075,3/7/19,647546,34.18363,-118.4002,6,2,98.00
150097,3/7/19,647546,34.17961,-118.40038,4,0,85.00
